title,role,date,authors,price,downloads,revenue
"Disrupting Finance: Digital Investment Managers","eBusiness & Channel Strategy",44034.12773489952,"[ ""Bill Doyle"", ""Benjamin Ensor"", ""Rachel Roizen"" ]","499","0",0.0
"Disrupting Finance: Digital Financial Advice","eBusiness & Channel Strategy",44034.7349588871,"[ ""Bill Doyle"", ""Benjamin Ensor"", ""Rachel Roizen"" ]","499","0",0.0
"Disrupting Finance: Crowdfunding","eBusiness & Channel Strategy",44035.13309407234,"[ ""Oliwia Berdak"", ""Rachel Roizen"", ""Benjamin Ensor"" ]","499","0",0.0
"Disrupting Finance: Social Insurance","eBusiness & Channel Strategy",44035.53562903404,"[ ""Oliwia Berdak"", ""Benjamin Ensor"", ""Ellen Carney"" ]","499","0",0.0
"Disrupting Finance: Social Lending","eBusiness & Channel Strategy",44036.05401992798,"[ ""Oliwia Berdak"", ""Benjamin Ensor"", ""Bill Doyle"" ]","499","0",0.0
"How To Build Your Brand Through Customer Experience","CMO",44036.65622496605,"[ ""Tracy Stokes"", ""David M. Cooperstein"" ]","499","0",0.0
"Reboot Your Organization For Modern Marketing","CMO",44037.19301009178,"[ ""Sheryl Pattek"", ""David M. Cooperstein"", ""Lori Wizdo"" ]","499","0",0.0
"Application Adoption Trends: The Rise Of SaaS","Application Development & Delivery",130437.7030980587,"[ ""Paul D. Hamerman"", ""Holger Kisker, Ph.D."" ]","499","9",4491.0
"Market Overview: Secure File Sharing And Collaboration","Security & Risk",130438.3149249554,"[ ""Heidi Shey"", ""Stephanie Balaouras"", ""Kelley Mak"" ]",,"8",
"Forrester's New Tech Management Balanced Scorecard","CIO",130439.04708004,"[ ""Khalid Kark"", ""Chip Gliedman"", ""Peter Burris"" ]","499","7",3493.0
"Brief: Salesforce.com Is Building Industry Cloud Ecosystems","CIO",130439.6430981159,"[ ""Ted Schadler"", ""Stefan Ried, Ph.D."", ""John C. McCarthy"", ""John R. Rymer"", ""Liz Herbert"" ]","499","10",4990.0
"Brief: Reduce The Burden Of Interchange Fees For Low-Cost Content Online","eBusiness & Channel Strategy",130440.1454069614,"[ ""Denee Carrington"", ""Lily Varon"", ""Zia Daniell Wigder"" ]","499","3",1497.0
"Forrester Research Mobile Advertising Forecast, 2014 To 2019 (US)","Marketing Leadership",130440.5960359573,"[ ""Jitender Miglani"", ""Susan Huynh"" ]",,"0",
"Sharpen Your Mix In China With The Marketing RaDaR","Marketing Leadership",389642.330108881,"[ ""Xiaofeng Wang"", ""Luca S. Paderni"", ""Nate Elliott"" ]","499","11",5489.0
"Brief: The Chinese Cloud Market Is Entering A New Era","Enterprise Architecture",389643.0265209675,"[ ""Charlie Dai"", ""Alex Cullen"", ""Michael Barnes"" ]","499","17",8483.0
"Brief: S&R Pros Remain Unprepared To Address Virtualization And Cloud Security Risks","Security & Risk",389643.6623001099,"[ ""Rick Holland"", ""Stephanie Balaouras"", ""Kelley Mak"" ]","499","28",13972.0
"Quick Take: Facebook's f8 Announcements Enable An Identity Provider Pivot","Security & Risk",389644.1592450142,"[ ""Eve Maler"", ""Fatemeh Khatibloo"", ""Stephanie Balaouras"", ""John R. Rymer"" ]","199","17",3383.0
