title,role,date,authors,authorscore,price,downloads,revenue
Disrupting Finance: Digital Investment Managers,eBusiness & Channel Strategy,44034.12773489952,"[u'Bill Doyle', u'Benjamin Ensor', u'Rachel Roizen']",432286.46875,499,0,0.0
Disrupting Finance: Digital Financial Advice,eBusiness & Channel Strategy,44034.7349588871,"[u'Bill Doyle', u'Benjamin Ensor', u'Rachel Roizen']",432286.46875,499,0,0.0
Disrupting Finance: Crowdfunding,eBusiness & Channel Strategy,44035.13309407234,"[u'Oliwia Berdak', u'Rachel Roizen', u'Benjamin Ensor']",432286.46875,499,0,0.0
Disrupting Finance: Social Insurance,eBusiness & Channel Strategy,44035.53562903404,"[u'Oliwia Berdak', u'Benjamin Ensor', u'Ellen Carney']",432286.46875,499,0,0.0
"EA Process Toolkit: Example Processes, Deliverables, And Responsibilities",Enterprise Architecture,31321958.5840261,[u'Alex Cullen'],526304.5814977974,499,56,27944.0
"Business Technology ""Strategy On A Page"" Toolkit",CIO,58625136.79548192,"[u'Brian Hopkins', u'Alex Cullen']",526304.5814977974,499,125,62375.0
Disrupting Finance: Social Lending,eBusiness & Channel Strategy,44036.05401992798,"[u'Oliwia Berdak', u'Benjamin Ensor', u'Bill Doyle']",432286.46875,499,0,0.0
How To Build Your Brand Through Customer Experience,CMO,44036.65622496605,"[u'Tracy Stokes', u'David M. Cooperstein']",303961.14492753625,499,0,0.0
Reboot Your Organization For Modern Marketing,CMO,44037.19301009178,"[u'Sheryl Pattek', u'David M. Cooperstein', u'Lori Wizdo']",303961.14492753625,499,0,0.0
Application Adoption Trends: The Rise Of SaaS,Application Development & Delivery,130437.7030980587,"[u'Paul D. Hamerman', u'Holger Kisker, Ph.D.']",1101950.1237113401,499,9,4491.0
Market Overview: Secure File Sharing And Collaboration,Security & Risk,130438.31492495537,"[u'Heidi Shey', u'Stephanie Balaouras', u'Kelley Mak']",964897.6338028169,,8,
Forrester's New Tech Management Balanced Scorecard,CIO,130439.04708003998,"[u'Khalid Kark', u'Chip Gliedman', u'Peter Burris']",601279.7472527473,499,7,3493.0
Brief: Salesforce.com Is Building Industry Cloud Ecosystems,CIO,130439.64309811592,"[u'Ted Schadler', u'Stefan Ried, Ph.D.', u'John C. McCarthy', u'John R. Rymer', u'Liz Herbert']",1771496.7567567567,499,10,4990.0
Brief: Reduce The Burden Of Interchange Fees For Low-Cost Content Online,eBusiness & Channel Strategy,130440.14540696144,"[u'Denee Carrington', u'Lily Varon', u'Zia Daniell Wigder']",540089.0857142857,499,3,1497.0
"Forrester Research Mobile Advertising Forecast, 2014 To 2019 (US)",Marketing Leadership,130440.59603595734,"[u'Jitender Miglani', u'Susan Huynh']",105269.05263157895,,0,
Sharpen Your Mix In China With The Marketing RaDaR,Marketing Leadership,389642.330108881,"[u'Xiaofeng Wang', u'Luca S. Paderni', u'Nate Elliott']",493198.837398374,499,11,5489.0
Brief: The Chinese Cloud Market Is Entering A New Era,Enterprise Architecture,389643.0265209675,"[u'Charlie Dai', u'Alex Cullen', u'Michael Barnes']",526304.5814977974,499,17,8483.0
Brief: S&R Pros Remain Unprepared To Address Virtualization And Cloud Security Risks,Security & Risk,389643.66230010986,"[u'Rick Holland', u'Stephanie Balaouras', u'Kelley Mak']",634238.0085714286,499,28,13972.0
Quick Take: Facebook's f8 Announcements Enable An Identity Provider Pivot,Security & Risk,389644.1592450142,"[u'Eve Maler', u'Fatemeh Khatibloo', u'Stephanie Balaouras', u'John R. Rymer']",913327.8214285715,199,17,3383.0
Quick Take: Facebook's f8 Announcements Mark A Sea Change In User Privacy,Customer Insights,389644.7380940914,"[u'Fatemeh Khatibloo', u'Eve Maler', u'Srividya Sridharan', u'Jennifer Wise', u'Peter Sheldon', u'Nate Elliott']",676336.3859649122,195,15,2925.0
"Why Every Online Retailer Should ""Ship-From-Store""",eBusiness & Channel Strategy,476045.5040049553,"[u'Peter Sheldon', u'Adam Silverman', u'George Lawrie', u'Zia Daniell Wigder', u'Sucharita Mulpuru']",676336.3859649122,499,113,56387.0
Brick And Mortar Retail Fights Back,Application Development & Delivery,476046.42444109917,"[u'George Lawrie', u'Peter Sheldon', u'Adam Silverman', u'Holger Kisker, Ph.D.']",1101950.1237113401,499,65,32435.0
Forrester's 2013 Data Privacy Heat Map,Security & Risk,562448.0718069077,"[u'Chris Sherman', u'Eve Maler', u'Stephanie Balaouras', u'Kelley Mak']",634238.0085714286,499,978,488022.0
Metrics That Matter In L2RM Assessment Tool: Measurement And Performance,Customer Insights,25965028.93509102,"[u'Lori Wizdo', u""Peter O'Neill""]",800843.4126984127,499,24,11976.0
Survey Results: How Agile Is Your Organization?,Application Development & Delivery,63636501.26309395,[u'Diego Lo Giudice'],466696.3157894737,,48,
Quick Take: Tibco Continues Build-Out Of Its BI Portfolio By Acquiring Jaspersoft,Application Development & Delivery,476046.9343929291,"[u'Martha Bennett', u'Holger Kisker, Ph.D.', u'Boris Evelson']",1300291.125,199,32,6368.0
Case Study: Leveraging Managed Services To Bring Agility To The Business,Sourcing & Vendor Management,562447.478470087,"[u'Frederic Giron', u'Dane Anderson']",271787.8,499,49,24451.0
Seven Advanced Analytics Must-Knows,Customer Insights,562448.8687000275,"[u'Srividya Sridharan', u'Mike Gualtieri', u'Carlton A. Doty', u'Holger Kisker, Ph.D.']",1101950.1237113401,499,210,104790.0
Address The Top 10 Nontechnical Security Issues In Mobile App Development,Security & Risk,562449.6160640717,"[u'Tyler Shields', u'Stephanie Balaouras', u'Michael Facemire']",634238.0085714286,499,99,49401.0
Case Study: Driving Toward Communications Sourcing Excellence,Sourcing & Vendor Management,562451.2165648937,"[u'Clement Teo', u'Frederic Giron', u'Michael Barnes']",271787.8,499,20,9980.0
Asian Banks Are Adopting Cloud Faster Than You Think,Application Development & Delivery,562451.8331339359,"[u'Michael Barnes', u'Dane Anderson']",133872.79338842974,499,64,31936.0
Assess Your Customers' Personal Identity And Data Management Attributes,Customer Insights,648852.3546950817,"[u'Fatemeh Khatibloo', u'Carlton A. Doty', u'Elizabeth Komar']",499922.75757575757,499,74,36926.0
"Key I&O Technology Trends To Watch In 2014, Part 1",Infrastructure & Operations,648853.7436230183,"[u'Sudhanshu Bhandari', u'Michael Barnes', u'Jean-Pierre Garbani']",1019003.2824858757,499,95,47405.0
