Date,Actual Revenue
27088261.37,419160
27088261.99,194610
26742662.49,424649
27088263.27,376246
27174664.16,137724
27174664.78,167165
27174665.5,59381
27174666.2,132734
27261066.83,139720
27261067.35,340817
27261067.88,601794
27261068.35,14970
27347468.98,135728
27347469.7,173153
27347471.42,110279
27606671.89,16467
27606672.43,251995
27693073.06,123253
27693073.56,14970
27693074.09,220558
27693074.61,576345
27693076.77,309380
27779477.47,201097
27779478.2,261476
27779478.82,159680
27865879.4,214570
27865880.53,86826
27865881.55,1729035
27952282.35,262474
27952282.99,229041
27952283.69,555387
27952284.19,65868
23459484.86,4398685
28297885.46,235029
28297886.59,71856
28384287.18,178642
28384287.83,664668
20521888.78,237524
28384289.29,25449
28384289.82,192115
28211490.56,158183
28384292.56,278941
23113893.02,117265
28470693.76,319360
28470696.26,186127
28557097.32,142714
28557097.97,640217
28816298.46,1674145
28816299.08,108782
28816299.64,170658
28902700.2,174650
28902701.26,11976
28902701.84,77345
28989102.38,748999
28989102.97,272454
25273903.48,1422150
29161905.14,95309
29161905.69,127245
29161906.3,189620
29421107.07,190119
29421107.91,115768
29421108.6,70858
29507509.22,360777
29507509.96,1689115
29593910.7,221057
29593911.37,115269
29593911.86,19461
29593912.41,111277
29593915.05,264969
29680315.67,287923
29680316.27,68862
29680317.18,32435
29680317.69,55389
30025918.33,236027
30025918.85,128742
30112319.55,41417
30112320.45,68862
30112320.96,42415
30198722.12,321356
30198723.34,143213
30285123.98,209081
30285124.68,575347
30285125.38,380737
29421126.16,1986020
30371526.83,282933
30371527.42,243512
30371529.78,100299
30630730.45,353292
25792331.12,190119
30717131.97,300398
30717132.79,203592
30717134.61,201596
30717135.2,155688
30717135.64,17964
30717136.33,485028
30803536.96,63373
30803537.56,147704
30803538.34,139221
30889939.25,333332
30889939.93,214071
30889940.55,17964
21040341.26,357284
30889941.89,932132
29680343.02,168163
30889943.62,980535
30889944.38,1306881
30976345.26,401196
30976346.09,218063
30976346.67,76846
30976347.5,382234
30976348.28,204091
30976351.78,317863
31235552.81,202594
31235553.8,162175
31235554.59,160678
31235555.41,191616
31235558.1,228542
31321959.34,415667
31321959.99,571854
31321961.31,174650
31321962.21,179141
31321964.11,1252490
31321964.71,10978
31321965.26,1581830
31321965.96,129241
30198767.13,610277
31408368,274949
31408368.81,158682
31408370.99,105289
31408371.64,259979
31408372.43,180638
31408373.04,152694
21558774.34,102295
31408375.04,21956
31408375.72,24950
31494776.61,148203
31494777.22,113772
31494777.81,805885
31494778.28,33433
31581181.6,155189
31581182.85,488521
31581186.23,655187
31581186.93,135229
31581187.55,350298
31926788.32,314370
31926789.32,170658
31926790.04,241017
31926791.17,64371
32013192.26,77345
32013192.78,1791410
32013193.37,588820
32013194,325847
32013194.78,297404
32013195.53,129740
31321996.14,779438
32099597.07,244510
32099597.6,159181
32099598.18,1045405
32186000.33,49401
32186001.65,149700
32186003.22,1674145
32445207.41,535926
32531608.19,443112
32531608.95,437124
32531609.64,517463
32531610.34,173153
32531610.89,718560
32531611.51,304390
32618012.08,237025
32618012.66,196606
32618014.28,1614265
32618014.9,290917
32704415.6,190119
32704416.12,2969050
32099616.69,138722
32790817.39,322354
32790817.88,265967
25446819.06,146207
33050020.61,496006
33050021.4,478541
33136422.1,285428
33136422.96,259979
33136423.52,155189
33136424.33,207085
32531626.72,915665
33222828.5,263971
33222829.11,97804
33309229.75,119760
33309230.71,321855
33309231.24,2564860
33309232.09,286925
33309232.93,571355
33395633.54,242514
33395634.15,215568
33395634.86,192614
33395635.38,18962
33654836.17,287424
33654836.91,1364266
33654837.55,492513
33654838.12,97804
33654838.91,186626
33654839.57,293911
33654840.29,475547
33741241.01,149700
995641.6154,464569
33914042.26,130239
33914042.82,560876
33914044.59,430637
33914045.6,494509
33914046.2,158682
33914047.35,89820
34000447.94,156187
34000449.24,148702
34000449.76,4970040
34000450.32,262973
34000452.88,94311
34259653.6,209580
33914054.23,234530
34259654.8,244011
34259655.44,178642
34259656.05,146207
34346057.07,34431
34346057.97,271456
34346058.65,169660
34346059.33,327843
34346059.94,469559
34518860.6,1771450
34518861.22,494509
34605261.8,623750
34605263.75,102794
34864464.47,197604
34864465.16,87325
34950865.81,303891
34950867.28,276945
34950873.71,159680
33914074.39,281436
35037275.43,214071
35037276.55,1312370
35123677.23,691115
35123677.99,277943
35123678.67,407184
35123679.38,346805
35210080.38,260478
35210081.69,1175145
35210083.44,203592
35469284.42,173153
35469285.12,513970
35469286.9,189121
35469288.69,23453
35555689.43,347803
35555691.19,423152
35555691.79,25449
35555692.4,326845
35555693.56,140219
35555694.04,28443
35555694.88,30938
35642095.69,356286
35642096.48,352294
35728497.22,255488
35728498.53,668161
35728499.11,157185
35728499.69,243013
35728500.29,322853
35814902.04,28860
