Date,Price,AuthorScore,Role1,Role2,Role3,Role4,Role5,Role6,Role7,Role8,Role9,Role10,Role11,Role12,Role13,Role14,Role15,Role16,Predicted Revenue,Actual Revenue
27088261.3665,499.0,609.234352604,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,247283.948923,419160.0
27088261.9867,499.0,679.663666002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,310338.027607,194610.0
26742662.4924,499.0,851.85846395,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,365423.728122,424649.0
27088263.2676,499.0,578.847826087,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,232357.826456,376246.0
27174664.1609,499.0,508.831491158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125342.347528,137724.0
27174664.7783,499.0,601.182305505,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,219536.806613,167165.0
27174665.4988,499.0,462.699061033,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,151512.625193,59381.0
27174666.2015,499.0,508.831491158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125342.353665,132734.0
27261066.8265,499.0,654.559583246,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186849.777686,139720.0
27261067.3486,499.0,595.913350685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233133.408204,340817.0
27261067.8788,499.0,817.528016378,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,282181.893201,601794.0
27261068.3474,499.0,659.434612964,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189244.43959,14970.0
27347468.9796,499.0,689.915303076,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,246969.596126,135728.0
27347469.6977,499.0,702.999263391,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,322580.186624,173153.0
27347471.4239,499.0,697.716981132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,223589.501734,110279.0
27606671.8866,499.0,429.621164021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,149637.877643,16467.0
27606672.4319,499.0,715.97420765,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218056.510842,251995.0
27693073.0616,499.0,429.350482315,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87859.57772,123253.0
27693073.5572,499.0,429.350482315,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87859.5792103,14970.0
27693074.0882,499.0,486.105351171,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,215695.608373,220558.0
27693074.6075,2495.0,664.176738722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871990.649599,576345.0
27693076.7749,499.0,777.123772905,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,360030.131183,309380.0
27779477.4732,499.0,682.423008401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,217376.129521,201097.0
27779478.1958,499.0,682.423008401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,217376.131694,261476.0
27779478.8234,499.0,636.54994824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,289855.156058,159680.0
27865879.3984,499.0,842.60939833,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,296320.922801,214570.0
27865880.5307,499.0,251.40327381,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65921.1098763,86826.0
27865881.5517,2495.0,453.454259015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,704245.748801,1729035.0
27952282.3493,499.0,738.201294771,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230013.995147,262474.0
27952282.9934,499.0,756.831428571,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,298331.532528,229041.0
27952283.6945,499.0,674.622275641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273874.600138,555387.0
27952284.1937,499.0,251.40327381,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66180.9495045,65868.0
23459484.8616,2495.0,919.153069436,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,924695.104122,4398685.0
28297885.4601,499.0,578.847826087,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,235995.49377,235029.0
28297886.5872,499.0,303.048382077,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,128978.973403,71856.0
28384287.1807,499.0,654.559583246,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190227.610859,178642.0
28384287.8263,499.0,781.508433515,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252586.000848,664668.0
20521888.7831,499.0,625.388892946,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,219748.355724,237524.0
28384289.2899,499.0,695.422706767,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,269466.192085,25449.0
28384289.8156,499.0,681.357400656,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,262557.192012,192115.0
28211490.5641,499.0,786.287277482,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254413.761903,158183.0
28384292.5613,499.0,859.251134187,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,333266.854981,278941.0
23113893.0159,499.0,795.221311475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243472.356949,117265.0
28470693.7628,499.0,703.096202375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,229609.661503,319360.0
28470696.2605,499.0,772.182535965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248264.8922,186127.0
28557097.3193,499.0,770.75206044,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,290315.005734,142714.0
28557097.9735,499.0,648.27816092,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,270879.806314,640217.0
28816298.4555,2495.0,868.561797753,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,915953.642859,1674145.0
28816299.0765,499.0,625.794827586,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,260615.285053,108782.0
28816299.6395,499.0,749.598517873,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,253491.338624,170658.0
28902700.2025,499.0,827.415565345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276694.995305,174650.0
28902701.2639,499.0,555.328042328,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,218329.625986,11976.0
28902701.8436,499.0,697.716981132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,228266.50824,77345.0
28989102.3771,499.0,636.54994824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,293492.827466,748999.0
28989102.971,499.0,641.39499269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260671.068812,272454.0
25273903.4808,2495.0,727.317940011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,835920.463835,1422150.0
29161905.1412,499.0,419.371135222,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87374.8178368,95309.0
29161905.6886,499.0,498.87293956,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,199309.47543,127245.0
29161906.2996,499.0,618.320401147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249856.294417,189620.0
29421107.0659,499.0,648.639627377,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,257931.722355,190119.0
29421107.9076,499.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-52893.3845891,115768.0
29421108.6021,499.0,251.40327381,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70598.1093201,70858.0
29507509.2246,499.0,693.40042023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,271850.659123,360777.0
29507509.9561,2495.0,761.163899384,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,892489.87164,1689115.0
29593910.6951,499.0,709.454545455,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,236110.758242,221057.0
29593911.3731,499.0,593.526809211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,231379.493148,115269.0
29593911.858,499.0,722.328290813,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269646.812697,19461.0
29593912.4089,499.0,722.328290813,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269646.814354,111277.0
29593915.0512,499.0,654.559583246,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193865.295249,264969.0
29680315.6726,499.0,691.737347095,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,227667.758685,287923.0
29680316.2729,499.0,499.351222826,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,185379.462948,68862.0
29680317.1761,499.0,691.737347095,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,227667.763207,32435.0
29680317.6929,499.0,429.442481884,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,151039.680869,55389.0
30025918.332,499.0,874.027211272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378060.043308,236027.0
30025918.8526,499.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-51074.5513867,128742.0
30112319.5491,499.0,394.371428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67617.578143,41417.0
30112320.4464,499.0,429.350482315,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95134.9213693,68862.0
30112320.96,499.0,659.434612964,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197818.942024,42415.0
30198722.1185,499.0,932.33632792,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,443807.064877,321356.0
30198723.3379,499.0,485.670339197,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,123059.566061,143213.0
30285123.9786,499.0,828.561942157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281415.434945,209081.0
30285124.6759,499.0,851.85846395,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,376076.888238,575347.0
30285125.3792,499.0,636.338330835,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,297286.377503,380737.0
29421126.1637,2495.0,498.803571429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,832540.031246,1986020.0
30371526.8303,499.0,663.488916092,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200589.95475,282933.0
30371527.4215,499.0,708.617789722,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222757.654841,243512.0
30371529.7798,499.0,572.163043478,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,266022.755659,100299.0
30630730.4545,499.0,757.316358961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,289951.257742,353292.0
25792331.121,499.0,627.381021584,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,228248.787312,190119.0
30717131.9699,499.0,854.755747562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,310861.818325,300398.0
30717132.7902,499.0,528.607142857,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,247050.753974,203592.0
30717134.6052,499.0,562.925798748,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,219725.850397,201596.0
30717135.1995,499.0,616.846875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253809.487392,155688.0
